gs.tpl1.1,growthForm,vesselSize,vesselNumber
Aldina insignis,NA,0.058964553,1
Lonchocarpus leucanthus,NA,0.023506182,1
Swartzia tessmannii,NA,0.014741138,1
Acrocarpus fraxinifolius,T,0.054325206,2
Albizia procera,S_T,0.050471649,2
Aldina petiolulata,NA,0.028055208,2
Alexa grandiflora,NA,0.027759113,2
Amphimas ferrugineus,T,0.047143525,2
Apeiba glabra,NA,0.021124069,2
Cavanillesia platanifolia,T,0.055154586,2
Cedrelinga cateniformis,T,0.096211275,2
Cordyla africana,T,0.022431757,2
Gossweilerodendron joveri,NA,0.031415927,2
Hevea brasiliensis,S_T,0.033006358,2
Millettia laurentii,T,0.055154586,2
Millettia stuhlmannii,NA,0.031415927,2
Ochroma pyramidale,T,0.03630503,2
Pseudosindora palustris,NA,0.040470782,2
Pterocarpus angolensis,T,0.041547563,2
Pterocarpus santalinus,NA,0.041547563,2
Pterocarpus soyauxii,T,0.041547563,2
Rhabdodendron amazonicum,NA,0.004417865,2
Swartzia ulei,NA,0.017671459,2
Xanthophyllum papuanum,NA,0.070685835,2
Mildbraediodendron excelsum,NA,0.023638914,2.5
Micrandra inundata,NA,0.007853982,2.6
Falcataria moluccana,NA,0.049087385,3
Afzelia africana,T,0.021382465,3
Anacardium excelsum,T,0.062537329,3
Anopyxis klaineana,NA,0.03630503,3
Apeiba petoumo,T,0.022167078,3
Apeiba membranacea,T,0.018385386,3
Apeiba tibourbou,T,0.015836769,3
Bagassa guianensis,NA,0.045238934,3
Bertholletia excelsa,T,0.028352874,3
Bocoa prouacensis,T,0.018385386,3
Bombax brevicuspe,NA,0.068349275,3
Brosimum potabile,NA,0.018869191,3
Calamus dransfieldii,NA,0.066051986,3
Calamus nagbettai,NA,0.115209271,3
Calamus thwaitesii,NA,0.097313974,3
Castanopsis hystrix,T,0.014313882,3
Castanopsis indica,T,0.018869191,3
Ceiba pentandra,T,0.047143525,3
Chiranthodendron pentadactylon,NA,0.0254469,3
Cordia goeldiana,NA,0.029347711,3
Couroupita subsessilis,NA,0.033006358,3
Dalbergia maritima,NA,0.031415927,3
Daniellia oliveri,T,0.033006358,3
Dilobeia thouarsii,NA,0.029864765,3
Dracontomelon dao,NA,0.031415927,3
Ficus calimana,NA,0.0254469,3
Tarrietia utilis,NA,0.053092916,3
Hymenaea courbaril,T,0.024052819,3
Koompassia excelsa,NA,0.046495571,3
Koompassia malaccensis,NA,0.056322866,3
Lithocarpus pachyphyllus,NA,0.010386891,3
Piptadeniastrum africanum,T,0.051090151,3
Allophylus cobbe,T,0.024605739,3
Pterocarpus indicus,NA,0.0254469,3
Pycnanthus angolensis,T,0.038013271,3
Scaphium macropodum,NA,0.041547563,3
Sterculia apetala,T,0.03079075,3
Swartzia benthamiana,NA,0.020358306,3
Swartzia ingaefolia,NA,0.020106193,3
Swartzia laxiflora,NA,0.01911345,3
Swartzia panacoco,T,0.025026189,3
Swartzia tomentifera,NA,0.022965828,3
Thottea gabunensis,NA,0.053092916,3
